id,title,description,availability,condition,price,link,image_link,brand,item_group_id
67125839,Greyson Sweater Polo- White,Greyson Sweater Polo- White,in stock,new,118.00 USD,greyson-sweater-polo-white,https://cdn.shoplightspeed.com/shops/651012/files/70442904/screenshot-2025-05-24-at-120255pm.png,,67125839
67125816,Greyson Sweater Polo- India Ink,Greyson Sweater Polo- India Ink,in stock,new,118.00 USD,greyson-sweater-polo-india-ink,https://cdn.shoplightspeed.com/shops/651012/files/70442864/screenshot-2025-05-24-at-115925am.png,,67125816
67125727,Coastline Knit Shirt- Hidden Lake Plaid,Coastline Knit Shirt- Hidden Lake Plaid,out of stock,new,168.00 USD,coastline-knit-shirt-hidden-lake-plaid,https://cdn.shoplightspeed.com/shops/651012/files/70442714/screenshot-2025-05-24-at-114832am.png,,67125727
67125679,SS Palma Linen Camp Shirt- Sienna Valley Stripe,SS Palma Linen Camp Shirt- Sienna Valley Stripe,out of stock,new,168.00 USD,ss-palma-linen-camp-shirt-sienna-valley-stripe,https://cdn.shoplightspeed.com/shops/651012/files/70442628/screenshot-2025-05-24-at-114128am.png,,67125679
67125523,SS Breeze Shirt- Stormy Sea Floral,SS Breeze Shirt- Stormy Sea Floral,out of stock,new,158.00 USD,ss-breeze-shirt-stormy-sea-floral,https://cdn.shoplightspeed.com/shops/651012/files/70442315/screenshot-2025-05-24-at-105700am.png,,67125523
67125420,Supima Oxford Shirt- Pure White,Supima Oxford Shirt- Pure White,out of stock,new,128.00 USD,supima-oxford-shirt-pure-white,https://cdn.shoplightspeed.com/shops/651012/files/70442063/screenshot-2025-05-24-at-105116am.png,,67125420
67125392,SS Movement Shirt- Horizon Bloom,SS Movement Shirt- Horizon Bloom,out of stock,new,148.00 USD,ss-movement-shirt-horizon-bloom,https://cdn.shoplightspeed.com/shops/651012/files/70441998/screenshot-2025-05-24-at-104800am.png,,67125392
67125381,The Movement Shirt- Verona Island Plaid,The Movement Shirt- Verona Island Plaid,out of stock,new,158.00 USD,the-movement-shirt-verona-island-plaid,https://cdn.shoplightspeed.com/shops/651012/files/70441973/screenshot-2025-05-24-at-104318am.png,,67125381
67116037,Revolver Jade Racerback Bra- Black,Revolver Jade Racerback Bra- Black,in stock,new,89.99 USD,revolver-jade-racerback-bra-black,https://cdn.shoplightspeed.com/shops/651012/files/70424326/screenshot-2025-04-17-at-91339am.png,,67116037
67116036,Revolver 25IN Midi Pant- Black,Revolver 25IN Midi Pant- Black,in stock,new,119.99 USD,revolver-25in-midi-pant-black,https://cdn.shoplightspeed.com/shops/651012/files/70424320/screenshot-2025-04-17-at-90853am.png,,67116036
67100754,SS Sunwashed Henley- White,SS Sunwashed Henley- White,out of stock,new,78.00 USD,ss-sunwashed-henley-white,https://cdn.shoplightspeed.com/shops/651012/files/70390616/screenshot-2025-05-21-at-32641pm.png,,67100754
67100523,Routine Ribbed Biker Jumpsuit- Black Onyx,Routine Ribbed Biker Jumpsuit- Black Onyx,out of stock,new,108.00 USD,routine-ribber-biker-jumpsuit-black-onyx,https://cdn.shoplightspeed.com/shops/651012/files/70389967/screenshot-2025-05-21-at-31727pm.png,,67100523
67098872,Studio Siren Pant- Heather Grey,Studio Siren Pant- Heather Grey,in stock,new,108.00 USD,studio-siren-pant-heather-grey,https://cdn.shoplightspeed.com/shops/651012/files/70385412/screenshot-2025-05-21-at-20927pm.png,,67098872
67098393,All Clear Cami- Seafoam,All Clear Cami- Seafoam,in stock,new,30.00 USD,all-clear-cami-seafoam,https://cdn.shoplightspeed.com/shops/651012/files/70384412/screenshot-2025-05-21-at-14546pm.png,,67098393
67098064,Gym Sock- Blue Sunset Stripe,Gym Sock- Blue Sunset Stripe,in stock,new,15.00 USD,gym-sock-blue-sunset-stripe,https://cdn.shoplightspeed.com/shops/651012/files/70384047/screenshot-2025-05-21-at-13843pm.png,,67098064
67098018,"Saturday Seersucker Short 6""- Light Indigo","Saturday Seersucker Short 6""- Light Indigo",in stock,new,98.00 USD,saturday-seersucker-short-6-light-indigo,https://cdn.shoplightspeed.com/shops/651012/files/70383912/screenshot-2025-05-21-at-13420pm.png,,67098018
67097967,Air Pocket Polo- Withered Rose,Air Pocket Polo- Withered Rose,in stock,new,88.00 USD,air-pocket-polo-withered-rose,https://cdn.shoplightspeed.com/shops/651012/files/70383770/screenshot-2025-05-21-at-13228pm.png,,67097967
67093362,Stretch Terry 5Pocket - Desert Khaki,Stretch Terry 5Pocket- Desert Khaki,out of stock,new,178.00 USD,stretch-terry-5pocket-desert-khaki,https://cdn.shoplightspeed.com/shops/651012/files/70405550/terrypocket5.webp,,67093362
67087529,Airweight Bra With Ruching- White,Airweight Bra With Ruching- White,in stock,new,88.00 USD,airweight-bra-with-ruching-white,https://cdn.shoplightspeed.com/shops/651012/files/70368703/screenshot-2025-05-20-at-81307pm.png,,67087529
67087474,Austin Rigor Dress- White/Indigo,Austin Rigor Dress- White/Indigo,in stock,new,168.00 USD,austin-rigor-dress-white-indigo,https://cdn.shoplightspeed.com/shops/651012/files/70368651/screenshot-2025-05-20-at-81023pm.png,,67087474
67087385,Airweight Bomber Jacket- White,Airweight Bomber Jacket- White,in stock,new,158.00 USD,airweight-bomber-jacket-white,https://cdn.shoplightspeed.com/shops/651012/files/70368612/screenshot-2025-05-20-at-80938pm.png,,67087385
67086787,Miles High Waist Rigor 7/8- Skylight/White,Miles High Waist Rigor 7/8- Skylight/White,in stock,new,138.00 USD,miles-high-waist-rigor-7-8-skylight-white,https://cdn.shoplightspeed.com/shops/651012/files/70368292/screenshot-2025-05-20-at-74140pm.png,,67086787
67086721,Miles Rigor Bra- Skylight/White,Miles Rigor Bra- Skylight/White,in stock,new,82.00 USD,miles-rigor-bra-skylight-white,https://cdn.shoplightspeed.com/shops/651012/files/70368250/screenshot-2025-05-20-at-73948pm.png,,67086721
