id,title,description,availability,condition,price,link,image_link,brand,quantity_to_sell_on_facebook,size,itemGroupID
67175783,Righteous Runsie- Supernova,"The perfect one-and-done running outfit, this easy romper features a slim-fitting top with a cooling cutout at the center paired with airy retro-style shorts.",in stock,new,98 USD,righteous-runs-supernova,https://cdn.shoplightspeed.com/shops/651012/files/70511179/screenshot-2025-05-29-at-112929am.png,"{'resource': {'id': 3047041, 'url': 'brands/3047041', 'link': 'https://api.shoplightspeed.com/us/brands/3047041.json'}}",1,XS,67175783
67175783,Righteous Runsie- Supernova,"The perfect one-and-done running outfit, this easy romper features a slim-fitting top with a cooling cutout at the center paired with airy retro-style shorts.",in stock,new,98 USD,righteous-runs-supernova,https://cdn.shoplightspeed.com/shops/651012/files/70511179/screenshot-2025-05-29-at-112929am.png,"{'resource': {'id': 3047041, 'url': 'brands/3047041', 'link': 'https://api.shoplightspeed.com/us/brands/3047041.json'}}",2,S,67175783
67175783,Righteous Runsie- Supernova,"The perfect one-and-done running outfit, this easy romper features a slim-fitting top with a cooling cutout at the center paired with airy retro-style shorts.",in stock,new,98 USD,righteous-runs-supernova,https://cdn.shoplightspeed.com/shops/651012/files/70511179/screenshot-2025-05-29-at-112929am.png,"{'resource': {'id': 3047041, 'url': 'brands/3047041', 'link': 'https://api.shoplightspeed.com/us/brands/3047041.json'}}",1,M,67175783
67175747,All Clear V Neck Cami- White,"So essential, this cami is an easy layer featuring a soft and light fabrication that offers barely-there coverage, with a flattering V-neckline and racerback for effortless cool.",in stock,new,30 USD,all-clear-v-neck-cami-white,https://cdn.shoplightspeed.com/shops/651012/files/70511128/screenshot-2025-05-29-at-112725am.png,"{'resource': {'id': 3047041, 'url': 'brands/3047041', 'link': 'https://api.shoplightspeed.com/us/brands/3047041.json'}}",2,XS/S,67175747
67175747,All Clear V Neck Cami- White,"So essential, this cami is an easy layer featuring a soft and light fabrication that offers barely-there coverage, with a flattering V-neckline and racerback for effortless cool.",in stock,new,30 USD,all-clear-v-neck-cami-white,https://cdn.shoplightspeed.com/shops/651012/files/70511128/screenshot-2025-05-29-at-112725am.png,"{'resource': {'id': 3047041, 'url': 'brands/3047041', 'link': 'https://api.shoplightspeed.com/us/brands/3047041.json'}}",2,M/L,67175747
67163172,Oyster Pearl Bag Charm,"A little bit salty, a little bit chic. This Oyster Pearl Bag Charm keychain brings beach-town vibes wherever you clip it.",in stock,new,26 USD,oyster-pearl-bag-charm,https://cdn.shoplightspeed.com/shops/651012/files/70495159/screenshot-2025-05-28-at-12710pm.png,"{'resource': {'id': 3787135, 'url': 'brands/3787135', 'link': 'https://api.shoplightspeed.com/us/brands/3787135.json'}}",4,,67163172
67162975,Freshwater Fish Bag Charm,Bring the freshwater lake aesthetic everywhere with the Freshwater Fish Bag Charm keychain!,in stock,new,25 USD,freshwater-fish-bag-charm,https://cdn.shoplightspeed.com/shops/651012/files/70494817/screenshot-2025-05-28-at-12411pm.png,"{'resource': {'id': 3787135, 'url': 'brands/3787135', 'link': 'https://api.shoplightspeed.com/us/brands/3787135.json'}}",4,,67162975
67162917,Marblehead Bag Charm,"Add a clean, timeless touch to your beach bag or boat keys with this Marblehead Bag Charm keychain.",in stock,new,25 USD,custom-city-bag-charm,https://cdn.shoplightspeed.com/shops/651012/files/70494717/screenshot-2025-05-28-at-12040pm.png,"{'resource': {'id': 3787135, 'url': 'brands/3787135', 'link': 'https://api.shoplightspeed.com/us/brands/3787135.json'}}",9,,67162917
67116037,Revolver Jade Racerback Bra- Black,"Full coverage bra with extra support in black
Colourblocked with tan, navy and cream piping
Scooped T bar back with printed arrow logo
Internal underbust elastic and removable cups
Recycled textured rib fabrication with moisture wicking properties",in stock,new,89.99 USD,revolver-jade-racerback-bra-black,https://cdn.shoplightspeed.com/shops/651012/files/70424326/screenshot-2025-04-17-at-91339am.png,"{'resource': {'id': 3679981, 'url': 'brands/3679981', 'link': 'https://api.shoplightspeed.com/us/brands/3679981.json'}}",0,L,67116037
67116037,Revolver Jade Racerback Bra- Black,"Full coverage bra with extra support in black
Colourblocked with tan, navy and cream piping
Scooped T bar back with printed arrow logo
Internal underbust elastic and removable cups
Recycled textured rib fabrication with moisture wicking properties",in stock,new,89.99 USD,revolver-jade-racerback-bra-black,https://cdn.shoplightspeed.com/shops/651012/files/70424326/screenshot-2025-04-17-at-91339am.png,"{'resource': {'id': 3679981, 'url': 'brands/3679981', 'link': 'https://api.shoplightspeed.com/us/brands/3679981.json'}}",1,M,67116037
67116037,Revolver Jade Racerback Bra- Black,"Full coverage bra with extra support in black
Colourblocked with tan, navy and cream piping
Scooped T bar back with printed arrow logo
Internal underbust elastic and removable cups
Recycled textured rib fabrication with moisture wicking properties",in stock,new,89.99 USD,revolver-jade-racerback-bra-black,https://cdn.shoplightspeed.com/shops/651012/files/70424326/screenshot-2025-04-17-at-91339am.png,"{'resource': {'id': 3679981, 'url': 'brands/3679981', 'link': 'https://api.shoplightspeed.com/us/brands/3679981.json'}}",2,S,67116037
67116036,Revolver 25IN Midi Pant- Black,"Made to go fast, THE UPSIDE'S Revolver Midi Pant is designed to perform.",in stock,new,119.99 USD,revolver-25in-midi-pant-black,https://cdn.shoplightspeed.com/shops/651012/files/70424320/screenshot-2025-04-17-at-90853am.png,"{'resource': {'id': 3679981, 'url': 'brands/3679981', 'link': 'https://api.shoplightspeed.com/us/brands/3679981.json'}}",0,L,67116036
67116036,Revolver 25IN Midi Pant- Black,"Made to go fast, THE UPSIDE'S Revolver Midi Pant is designed to perform.",in stock,new,119.99 USD,revolver-25in-midi-pant-black,https://cdn.shoplightspeed.com/shops/651012/files/70424320/screenshot-2025-04-17-at-90853am.png,"{'resource': {'id': 3679981, 'url': 'brands/3679981', 'link': 'https://api.shoplightspeed.com/us/brands/3679981.json'}}",1,M,67116036
67116036,Revolver 25IN Midi Pant- Black,"Made to go fast, THE UPSIDE'S Revolver Midi Pant is designed to perform.",in stock,new,119.99 USD,revolver-25in-midi-pant-black,https://cdn.shoplightspeed.com/shops/651012/files/70424320/screenshot-2025-04-17-at-90853am.png,"{'resource': {'id': 3679981, 'url': 'brands/3679981', 'link': 'https://api.shoplightspeed.com/us/brands/3679981.json'}}",0,S,67116036
67116036,Revolver 25IN Midi Pant- Black,"Made to go fast, THE UPSIDE'S Revolver Midi Pant is designed to perform.",in stock,new,119.99 USD,revolver-25in-midi-pant-black,https://cdn.shoplightspeed.com/shops/651012/files/70424320/screenshot-2025-04-17-at-90853am.png,"{'resource': {'id': 3679981, 'url': 'brands/3679981', 'link': 'https://api.shoplightspeed.com/us/brands/3679981.json'}}",1,XS,67116036
67098872,Studio Siren Pant- Heather Grey,"Essential for going to and from the studio or a long day of travel, these super-soft pants feature a wide-leg silhouette with flattering drape for an effortless look.",in stock,new,108 USD,studio-siren-pant-heather-grey,https://cdn.shoplightspeed.com/shops/651012/files/70385412/screenshot-2025-05-21-at-20927pm.png,"{'resource': {'id': 3047041, 'url': 'brands/3047041', 'link': 'https://api.shoplightspeed.com/us/brands/3047041.json'}}",1,XS,67098872
67098872,Studio Siren Pant- Heather Grey,"Essential for going to and from the studio or a long day of travel, these super-soft pants feature a wide-leg silhouette with flattering drape for an effortless look.",in stock,new,108 USD,studio-siren-pant-heather-grey,https://cdn.shoplightspeed.com/shops/651012/files/70385412/screenshot-2025-05-21-at-20927pm.png,"{'resource': {'id': 3047041, 'url': 'brands/3047041', 'link': 'https://api.shoplightspeed.com/us/brands/3047041.json'}}",0,S,67098872
67098872,Studio Siren Pant- Heather Grey,"Essential for going to and from the studio or a long day of travel, these super-soft pants feature a wide-leg silhouette with flattering drape for an effortless look.",in stock,new,108 USD,studio-siren-pant-heather-grey,https://cdn.shoplightspeed.com/shops/651012/files/70385412/screenshot-2025-05-21-at-20927pm.png,"{'resource': {'id': 3047041, 'url': 'brands/3047041', 'link': 'https://api.shoplightspeed.com/us/brands/3047041.json'}}",1,M,67098872
67098393,All Clear Cami- Seafoam,"So essential, this cami is an easy layer featuring a soft and light fabrication that offers barely-there coverage, with a flattering scoop neckline and racerback for effortless cool.",in stock,new,30 USD,all-clear-cami-seafoam,https://cdn.shoplightspeed.com/shops/651012/files/70384412/screenshot-2025-05-21-at-14546pm.png,"{'resource': {'id': 3047041, 'url': 'brands/3047041', 'link': 'https://api.shoplightspeed.com/us/brands/3047041.json'}}",2,XS/S,67098393
67098393,All Clear Cami- Seafoam,"So essential, this cami is an easy layer featuring a soft and light fabrication that offers barely-there coverage, with a flattering scoop neckline and racerback for effortless cool.",in stock,new,30 USD,all-clear-cami-seafoam,https://cdn.shoplightspeed.com/shops/651012/files/70384412/screenshot-2025-05-21-at-14546pm.png,"{'resource': {'id': 3047041, 'url': 'brands/3047041', 'link': 'https://api.shoplightspeed.com/us/brands/3047041.json'}}",2,M/L,67098393
67087529,Airweight Bra With Ruching- White,Splits59 built sports bra support into this ultra light crop bra with ruched front. The super soft ultra luxe Airweight performance fabric gives you superior second skin comfort and freedom.,in stock,new,88 USD,airweight-bra-with-ruching-white,https://cdn.shoplightspeed.com/shops/651012/files/70368703/screenshot-2025-05-20-at-81307pm.png,"{'resource': {'id': 3426207, 'url': 'brands/3426207', 'link': 'https://api.shoplightspeed.com/us/brands/3426207.json'}}",2,S,67087529
67087529,Airweight Bra With Ruching- White,Splits59 built sports bra support into this ultra light crop bra with ruched front. The super soft ultra luxe Airweight performance fabric gives you superior second skin comfort and freedom.,in stock,new,88 USD,airweight-bra-with-ruching-white,https://cdn.shoplightspeed.com/shops/651012/files/70368703/screenshot-2025-05-20-at-81307pm.png,"{'resource': {'id': 3426207, 'url': 'brands/3426207', 'link': 'https://api.shoplightspeed.com/us/brands/3426207.json'}}",1,M,67087529
67087474,Austin Rigor Dress- White/Indigo,"Another court sport dress for your collection, the Austin Dress is the perfect piece for your next game. Super soft Rigor fabric and built-in shorts. Zip down polo neckline, racerback, and side slits.",in stock,new,168 USD,austin-rigor-dress-white-indigo,https://cdn.shoplightspeed.com/shops/651012/files/70368651/screenshot-2025-05-20-at-81023pm.png,"{'resource': {'id': 3426207, 'url': 'brands/3426207', 'link': 'https://api.shoplightspeed.com/us/brands/3426207.json'}}",0,XS,67087474
67087474,Austin Rigor Dress- White/Indigo,"Another court sport dress for your collection, the Austin Dress is the perfect piece for your next game. Super soft Rigor fabric and built-in shorts. Zip down polo neckline, racerback, and side slits.",in stock,new,168 USD,austin-rigor-dress-white-indigo,https://cdn.shoplightspeed.com/shops/651012/files/70368651/screenshot-2025-05-20-at-81023pm.png,"{'resource': {'id': 3426207, 'url': 'brands/3426207', 'link': 'https://api.shoplightspeed.com/us/brands/3426207.json'}}",1,S,67087474
67087474,Austin Rigor Dress- White/Indigo,"Another court sport dress for your collection, the Austin Dress is the perfect piece for your next game. Super soft Rigor fabric and built-in shorts. Zip down polo neckline, racerback, and side slits.",in stock,new,168 USD,austin-rigor-dress-white-indigo,https://cdn.shoplightspeed.com/shops/651012/files/70368651/screenshot-2025-05-20-at-81023pm.png,"{'resource': {'id': 3426207, 'url': 'brands/3426207', 'link': 'https://api.shoplightspeed.com/us/brands/3426207.json'}}",1,M,67087474
67087385,Airweight Bomber Jacket- White,"Sleek lines and long sleeve coverage in a buttery soft full-length zip bomber. Perfect worn alone or layered. Pair it with a matching dress, skort or legging. ",in stock,new,158 USD,airweight-bomber-jacket-white,https://cdn.shoplightspeed.com/shops/651012/files/70368612/screenshot-2025-05-20-at-80938pm.png,"{'resource': {'id': 3426207, 'url': 'brands/3426207', 'link': 'https://api.shoplightspeed.com/us/brands/3426207.json'}}",1,XS,67087385
