id,title,description,availability,condition,price,link,image_link,brand,quantity_to_sell_on_facebook,size,item_group_id
115131666,Logo Stripe Ankle Socks with Grip- Black/White,Add a touch of vintage sport to your workout. These retro inspired quarter length socks are a throwback to those striped athletic tube socks you wore in high school gym class. ,in stock,new,25 USD,https://www.twinlion.co/logo-stripe-ankle-socks-with-grip-black-white.html,https://cdn.shoplightspeed.com/shops/651012/files/72665975/whitebackgroundproductpage-2.webp,N/A,5,One size,68389560
115131596,Logo Stripe Quarter Sock- White/Grass,Add a touch of vintage sport to your workout. These retro inspired quarter length socks are a throwback to those striped athletic tube socks you wore in high school gym class. ,in stock,new,25 USD,https://www.twinlion.co/logo-stripe-quarter-sock-white-grass.html,https://cdn.shoplightspeed.com/shops/651012/files/72665970/white-grasscopy.webp,N/A,4,One size,68389526
115131518,Kate Airweight Lite Button Down- White,"The perfect layering piece to throw on between errands, workouts, or dinner outings. A long sleeve button down in buttery soft Airweight Lite fabric.",in stock,new,138 USD,https://www.twinlion.co/kate-airweight-lite-button-down-white.html,https://cdn.shoplightspeed.com/shops/651012/files/72651843/screenshot-2025-10-07-at-30637pm.png,N/A,2,S,68389487
115131513,Kate Airweight Lite Button Down- White,"The perfect layering piece to throw on between errands, workouts, or dinner outings. A long sleeve button down in buttery soft Airweight Lite fabric.",in stock,new,138 USD,https://www.twinlion.co/kate-airweight-lite-button-down-white.html,https://cdn.shoplightspeed.com/shops/651012/files/72651843/screenshot-2025-10-07-at-30637pm.png,N/A,2,XS,68389487
115131412,Kate Airweight Lite Button Down- Black,"The perfect layering piece to throw on between errands, workouts, or dinner outings. A long sleeve button down in buttery soft Airweight Lite fabric.",in stock,new,138 USD,https://www.twinlion.co/kate-airweight-lite-button-down-black.html,https://cdn.shoplightspeed.com/shops/651012/files/72651748/screenshot-2025-10-07-at-14714pm.png,N/A,2,XS,68389443
115131403,Kate Airweight Lite Button Down- Black,"The perfect layering piece to throw on between errands, workouts, or dinner outings. A long sleeve button down in buttery soft Airweight Lite fabric.",in stock,new,138 USD,https://www.twinlion.co/kate-airweight-lite-button-down-black.html,https://cdn.shoplightspeed.com/shops/651012/files/72651748/screenshot-2025-10-07-at-14714pm.png,N/A,2,S,68389443
115131270,Willa Sherpa Jacket- Black,"This cozy baseball style sherpa is perfect for winter workouts, cheering in the stands for your favorite sports team or for when you end up on the slopes.",in stock,new,198 USD,https://www.twinlion.co/willa-sherpa-jacket-black.html,https://cdn.shoplightspeed.com/shops/651012/files/72651654/screenshot-2025-10-07-at-30546pm.png,N/A,1,XS,68389360
115131258,Willa Sherpa Jacket- Black,"This cozy baseball style sherpa is perfect for winter workouts, cheering in the stands for your favorite sports team or for when you end up on the slopes.",in stock,new,198 USD,https://www.twinlion.co/willa-sherpa-jacket-black.html,https://cdn.shoplightspeed.com/shops/651012/files/72651654/screenshot-2025-10-07-at-30546pm.png,N/A,1,S,68389360
115131188,Emerson Airweight High Waist- Black/Ice,"Meet the newest Airweight legging, the Emerson. Two sleek stripes curve and wrap around the back for a flattering, sculpted look.",in stock,new,138 USD,https://www.twinlion.co/emerson-airweight-high-waist-black-ice.html,https://cdn.shoplightspeed.com/shops/651012/files/72651553/screenshot-2025-10-07-at-30815pm.png,N/A,1,M,68389321
115131180,Emerson Airweight High Waist- Black/Ice,"Meet the newest Airweight legging, the Emerson. Two sleek stripes curve and wrap around the back for a flattering, sculpted look.",in stock,new,138 USD,https://www.twinlion.co/emerson-airweight-high-waist-black-ice.html,https://cdn.shoplightspeed.com/shops/651012/files/72651553/screenshot-2025-10-07-at-30815pm.png,N/A,3,S,68389321
115131161,Emerson Airweight High Waist- Black/Ice,"Meet the newest Airweight legging, the Emerson. Two sleek stripes curve and wrap around the back for a flattering, sculpted look.",in stock,new,138 USD,https://www.twinlion.co/emerson-airweight-high-waist-black-ice.html,https://cdn.shoplightspeed.com/shops/651012/files/72651553/screenshot-2025-10-07-at-30815pm.png,N/A,1,XS,68389321
115130975,Easton Rigor High Waist 7/8- Indigo/Grass,Pops of color along the waist deliver a flattering look while you move. Gently compressive Rigor fabric and high waist for support and shaping.,in stock,new,138 USD,https://www.twinlion.co/easton-rigor-high-waist-7-8-indigo-grass.html,https://cdn.shoplightspeed.com/shops/651012/files/72651485/screenshot-2025-10-07-at-30715pm.png,N/A,2,M,68389253
115130971,Easton Rigor High Waist 7/8- Indigo/Grass,Pops of color along the waist deliver a flattering look while you move. Gently compressive Rigor fabric and high waist for support and shaping.,in stock,new,138 USD,https://www.twinlion.co/easton-rigor-high-waist-7-8-indigo-grass.html,https://cdn.shoplightspeed.com/shops/651012/files/72651485/screenshot-2025-10-07-at-30715pm.png,N/A,2,S,68389253
115130967,Easton Rigor High Waist 7/8- Indigo/Grass,Pops of color along the waist deliver a flattering look while you move. Gently compressive Rigor fabric and high waist for support and shaping.,in stock,new,138 USD,https://www.twinlion.co/easton-rigor-high-waist-7-8-indigo-grass.html,https://cdn.shoplightspeed.com/shops/651012/files/72651485/screenshot-2025-10-07-at-30715pm.png,N/A,1,XS,68389253
115130541,Brynn Airweight Pant- Black,"Your new everyday pant, the Brynn Airweight — sleek, and effortless in an ultra soft buttery fabric. Mid-rise with a wide‑leg flow.",in stock,new,188 USD,https://www.twinlion.co/brynn-airweight-pant-black.html,https://cdn.shoplightspeed.com/shops/651012/files/72651274/screenshot-2025-10-07-at-30933pm.png,N/A,2,M,68389080
115130533,Brynn Airweight Pant- Black,"Your new everyday pant, the Brynn Airweight — sleek, and effortless in an ultra soft buttery fabric. Mid-rise with a wide‑leg flow.",in stock,new,188 USD,https://www.twinlion.co/brynn-airweight-pant-black.html,https://cdn.shoplightspeed.com/shops/651012/files/72651274/screenshot-2025-10-07-at-30933pm.png,N/A,2,S,68389080
